X,Y,Z,TimeStmp,Day,Time,,,,,,,,,,,
-0.16160862,3.4380736,9.2907,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.22864626,3.4153287,9.263166,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.2717419,3.4608185,9.186552,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.30526072,3.4799721,9.214086,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.2681506,3.4620156,9.215282,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.1592144,3.4117374,9.263166,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.094570965,3.4033577,9.330204,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.14604631,3.4332852,9.344569,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.21428105,3.4512417,9.26197,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.25019407,3.4608185,9.174581,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.2621651,3.4703953,9.119514,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.21667525,3.4560301,9.17099,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.19153613,3.4464533,9.197326,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.17956513,3.4452562,9.337387,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.142455,3.4165258,9.416395,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.1604115,3.4105403,9.308656,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.18674773,3.4261026,9.211691,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.272939,3.514688,9.131485,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
-0.31483752,3.5063083,9.078813,4/6/2016,Wednesday,7.03pm,39,-94,,,,,,,,,
